"Autoprint PDF's","PDF's Automatisch afdrukken (Autoprint)"
"Active for roles","ActiveX download actief voor"
"To un-select use ctrl + mouseclick.<br><br>ActiveX download (browser starts batch file) will be active for the selected groups.","Gebruik ctrl + muisklik om te (de-)selecteren.<br><br>ActiveX download (de browser start een batch file) zal actief zijn voor de geselecteerde groepen."
"FTP (only used for Webservice API)","FTP (wordt alleen gebruikt voor de Webservice API)"
"FTP - Host","FTP - Server (hostname)"
"FTP - User","FTP - Gebruiker"
"FTP - Password","FTP - Wachtwoord"
"FTP - Passive mode","FTP - Passieve modus"
"Autoprint to","Print automatisch naar"
"Tray 1 (normal)","Lade 1 (normaal papier)"
"Tray 2 (sticker)","Lade 2 (stickervel)"
"ActiveX, downloading PDF files.","Automatisch downloaden van de PDF bestanden."
